score	readID	taxID
73984	NB501013:67:HNG37BGX5:4:12508:10146:15061	2
0	NB501013:67:HNG37BGX5:1:13207:17417:12658	0
0	NB501013:67:HNG37BGX5:2:23106:3234:18030	0
11261	NB501013:67:HNG37BGX5:4:21607:6631:9747	155900
72900	NB501013:67:HNG37BGX5:3:11607:6717:5717	2
73441	NB501013:67:HNG37BGX5:2:23201:12828:13430	166486
32546	NB501013:67:HNG37BGX5:1:21110:22803:17850	823
21025	NB501013:67:HNG37BGX5:3:12505:23737:13692	679935
0	NB501013:67:HNG37BGX5:3:13406:24778:15794	0
25600	NB501013:67:HNG37BGX5:2:22103:19253:20038	28025
0	NB501013:67:HNG37BGX5:3:23606:3556:4717	0
72900	NB501013:67:HNG37BGX5:3:13506:16165:18037	39485
31684	NB501013:67:HNG37BGX5:4:11607:4790:16906	28116
0	NB501013:67:HNG37BGX5:3:21402:22835:13435	0
21025	NB501013:67:HNG37BGX5:4:11509:21772:10830	246787
9216	NB501013:67:HNG37BGX5:3:23507:10776:5747	816
69696	NB501013:67:HNG37BGX5:3:21602:16954:10211	1
33305	NB501013:67:HNG37BGX5:4:13512:21953:8751	29466
9216	NB501013:67:HNG37BGX5:4:23405:17275:15563	679935
17245	NB501013:67:HNG37BGX5:3:11402:17019:4146	77133
2601	NB501013:67:HNG37BGX5:4:23503:15480:9183	1495554
29929	NB501013:67:HNG37BGX5:2:13305:26212:9181	28116
24649	NB501013:67:HNG37BGX5:4:21611:18728:18899	214856
32932	NB501013:67:HNG37BGX5:1:13307:3622:3936	2
35300	NB501013:67:HNG37BGX5:4:21507:13354:11518	1596
0	NB501013:67:HNG37BGX5:3:13408:10875:11420	0
68644	NB501013:67:HNG37BGX5:4:12410:24262:6660	2
27560	NB501013:67:HNG37BGX5:4:22403:24126:15835	2
32625	NB501013:67:HNG37BGX5:1:11212:6446:19192	2
52900	NB501013:67:HNG37BGX5:2:11106:14979:1286	28116
68121	NB501013:67:HNG37BGX5:3:13502:17098:10012	29466
8742	NB501013:67:HNG37BGX5:3:23604:14014:3388	214856
9604	NB501013:67:HNG37BGX5:1:23111:9748:4202	1796616
0	NB501013:67:HNG37BGX5:2:11305:3425:3530	0
69169	NB501013:67:HNG37BGX5:3:12505:16887:11223	1796613
67600	NB501013:67:HNG37BGX5:4:12502:17851:20088	2
7569	NB501013:67:HNG37BGX5:2:21103:4935:7515	657313
0	NB501013:67:HNG37BGX5:4:11610:5339:17561	0
28813	NB501013:67:HNG37BGX5:4:11603:23685:14773	28025
30356	NB501013:67:HNG37BGX5:1:12311:20203:4963	2
68644	NB501013:67:HNG37BGX5:3:11601:4090:5704	2
50176	NB501013:67:HNG37BGX5:2:22310:24736:9816	1
71289	NB501013:67:HNG37BGX5:4:22601:19679:13923	1
18769	NB501013:67:HNG37BGX5:3:21608:7771:4638	679935
8281	NB501013:67:HNG37BGX5:1:11302:24865:4592	657313
37636	NB501013:67:HNG37BGX5:4:12508:5130:5809	214856
0	NB501013:67:HNG37BGX5:1:11305:3793:11138	0
11881	NB501013:67:HNG37BGX5:2:22205:2079:18462	1
0	NB501013:67:HNG37BGX5:2:23101:6325:13167	0
27225	NB501013:67:HNG37BGX5:3:22409:26704:8029	77133
18496	NB501013:67:HNG37BGX5:3:22511:12724:13824	679935
39400	NB501013:67:HNG37BGX5:3:13502:14627:3956	818
68121	NB501013:67:HNG37BGX5:3:22410:1136:8039	77133
67081	NB501013:67:HNG37BGX5:3:22506:9742:17189	2
68121	NB501013:67:HNG37BGX5:4:22408:22924:1747	2
0	NB501013:67:HNG37BGX5:1:13102:3234:17912	0
67081	NB501013:67:HNG37BGX5:3:11407:15875:18325	357276
67600	NB501013:67:HNG37BGX5:2:12204:20212:3177	2
67081	NB501013:67:HNG37BGX5:1:11103:18788:1434	29466
67600	NB501013:67:HNG37BGX5:3:13610:2088:19886	2
0	NB501013:67:HNG37BGX5:1:23109:11307:14868	0
67600	NB501013:67:HNG37BGX5:4:21406:7562:13625	77133
17956	NB501013:67:HNG37BGX5:2:13309:14455:12100	155900
8836	NB501013:67:HNG37BGX5:4:23407:3495:11456	1
5625	NB501013:67:HNG37BGX5:3:22407:14167:12142	77133
7361	NB501013:67:HNG37BGX5:4:23604:17835:19174	214856
18225	NB501013:67:HNG37BGX5:4:22505:19825:14789	77133
1600	NB501013:67:HNG37BGX5:1:12203:16028:18114	214856
65536	NB501013:67:HNG37BGX5:1:22311:25824:1776	1
52610	NB501013:67:HNG37BGX5:1:11103:16515:4448	817
66564	NB501013:67:HNG37BGX5:3:12505:20707:9195	29466
66564	NB501013:67:HNG37BGX5:2:11201:6785:13518	1
0	NB501013:67:HNG37BGX5:2:11102:4091:17075	0
65025	NB501013:67:HNG37BGX5:4:21403:23758:8432	1
66049	NB501013:67:HNG37BGX5:2:21105:11014:9251	2
8281	NB501013:67:HNG37BGX5:2:11108:14197:15109	155900
40968	NB501013:67:HNG37BGX5:2:12111:5246:18622	28116
0	NB501013:67:HNG37BGX5:2:11311:9838:11853	0
5929	NB501013:67:HNG37BGX5:3:12402:7237:13014	328814
5625	NB501013:67:HNG37BGX5:2:13205:22222:12501	328814
2401	NB501013:67:HNG37BGX5:4:21502:12759:6040	186802
35885	NB501013:67:HNG37BGX5:2:21110:10912:2044	823
7921	NB501013:67:HNG37BGX5:2:21307:5383:18041	77133
65536	NB501013:67:HNG37BGX5:4:21411:26149:12308	2
43264	NB501013:67:HNG37BGX5:1:11201:26017:7639	28116
