,EC,Superpathway
1355,ec:1.2.3.13,Amino acid metabolism
1356,ec:1.4.1.20,Amino acid metabolism
1357,ec:1.4.3.2,Amino acid metabolism
1358,ec:1.4.3.21,Amino acid metabolism
1359,ec:1.4.3.4,Amino acid metabolism
1360,ec:1.4.9.2,Amino acid metabolism
1361,ec:2.1.1.27,Amino acid metabolism
1362,ec:2.1.1.28,Amino acid metabolism
1363,ec:2.1.1.6,Amino acid metabolism
1364,ec:2.3.1.14,Amino acid metabolism
1365,ec:2.3.1.140,Amino acid metabolism
1366,ec:2.6.1.1,Amino acid metabolism
1367,ec:2.6.1.49,Amino acid metabolism
1368,ec:2.6.1.5,Amino acid metabolism
1369,ec:2.6.1.57,Amino acid metabolism
1370,ec:2.6.1.58,Amino acid metabolism
1371,ec:2.6.1.9,Amino acid metabolism
1372,ec:3.7.1.2,Amino acid metabolism
1373,ec:3.7.1.20,Amino acid metabolism
1374,ec:3.7.1.23,Amino acid metabolism
1375,ec:3.7.1.5,Amino acid metabolism
1376,ec:4.1.1.107,Amino acid metabolism
1377,ec:4.1.1.108,Amino acid metabolism
1378,ec:4.1.1.25,Amino acid metabolism
1379,ec:4.1.1.28,Amino acid metabolism
1380,ec:4.1.1.62,Amino acid metabolism
1381,ec:4.1.1.68,Amino acid metabolism
1382,ec:4.1.1.80,Amino acid metabolism
1383,ec:4.1.2.52,Amino acid metabolism
1384,ec:4.1.99.2,Amino acid metabolism
1385,ec:4.3.1.22,Amino acid metabolism
1386,ec:4.3.1.23,Amino acid metabolism
1387,ec:5.2.1.2,Amino acid metabolism
1388,ec:5.2.1.4,Amino acid metabolism
1389,ec:5.3.2.1,Amino acid metabolism
1390,ec:5.3.3.10,Amino acid metabolism
1391,ec:5.3.3.12,Amino acid metabolism
1392,ec:5.4.3.6,Amino acid metabolism
1393,ec:1.1.1.157,Amino acid metabolism
1394,ec:1.1.1.222,Amino acid metabolism
1395,ec:1.1.1.237,Amino acid metabolism
1396,ec:1.1.1.90,Amino acid metabolism
1397,ec:1.11.1.21,Amino acid metabolism
1398,ec:1.13.11.16,Amino acid metabolism
1399,ec:1.13.11.27,Amino acid metabolism
1400,ec:1.13.12.9,Amino acid metabolism
1401,ec:1.14.12.19,Amino acid metabolism
1402,ec:1.14.13.11,Amino acid metabolism
1403,ec:1.14.13.127,Amino acid metabolism
1404,ec:1.14.13.14,Amino acid metabolism
1405,ec:1.14.13.149,Amino acid metabolism
1406,ec:1.14.13.4,Amino acid metabolism
1407,ec:1.14.14.54,Amino acid metabolism
1408,ec:1.14.16.1,Amino acid metabolism
1409,ec:1.17.5.1,Amino acid metabolism
1410,ec:1.2.1.10,Amino acid metabolism
1411,ec:1.2.1.39,Amino acid metabolism
1412,ec:1.2.1.5,Amino acid metabolism
1413,ec:1.2.1.58,Amino acid metabolism
1414,ec:1.2.1.91,Amino acid metabolism
1415,ec:1.3.1.11,Amino acid metabolism
1416,ec:1.3.1.31,Amino acid metabolism
1417,ec:1.3.1.87,Amino acid metabolism
1418,ec:1.4.1.20,Amino acid metabolism
1419,ec:1.4.3.2,Amino acid metabolism
1420,ec:1.4.3.21,Amino acid metabolism
1421,ec:1.4.3.4,Amino acid metabolism
1422,ec:1.4.5.1,Amino acid metabolism
1423,ec:1.4.9.2,Amino acid metabolism
1424,ec:1.5.1.18,Amino acid metabolism
1425,ec:2.1.1.104,Amino acid metabolism
1426,ec:2.3.1.14,Amino acid metabolism
1427,ec:2.3.1.174,Amino acid metabolism
1428,ec:2.3.1.192,Amino acid metabolism
1429,ec:2.3.1.223,Amino acid metabolism
1430,ec:2.3.1.36,Amino acid metabolism
1431,ec:2.3.1.53,Amino acid metabolism
1432,ec:2.3.1.71,Amino acid metabolism
1433,ec:2.6.1.1,Amino acid metabolism
1434,ec:2.6.1.21,Amino acid metabolism
1435,ec:2.6.1.5,Amino acid metabolism
1436,ec:2.6.1.57,Amino acid metabolism
1437,ec:2.6.1.58,Amino acid metabolism
1438,ec:2.6.1.9,Amino acid metabolism
1439,ec:3.1.2.25,Amino acid metabolism
1440,ec:3.3.2.12,Amino acid metabolism
1441,ec:3.5.1.32,Amino acid metabolism
1442,ec:3.5.1.4,Amino acid metabolism
1443,ec:3.7.1.14,Amino acid metabolism
1444,ec:4.1.1.109,Amino acid metabolism
1445,ec:4.1.1.28,Amino acid metabolism
1446,ec:4.1.1.43,Amino acid metabolism
1447,ec:4.1.1.53,Amino acid metabolism
1448,ec:4.1.2.41,Amino acid metabolism
1449,ec:4.1.3.39,Amino acid metabolism
1450,ec:4.2.1.101,Amino acid metabolism
1451,ec:4.2.1.17,Amino acid metabolism
1452,ec:4.2.1.80,Amino acid metabolism
1453,ec:4.3.1.24,Amino acid metabolism
1454,ec:4.3.1.25,Amino acid metabolism
1455,ec:5.1.1.11,Amino acid metabolism
1456,ec:5.3.2.1,Amino acid metabolism
1457,ec:5.3.3.18,Amino acid metabolism
1458,ec:6.2.1.12,Amino acid metabolism
1459,ec:6.2.1.30,Amino acid metabolism
1460,ec:1.1.1.404,Xenobiotics biodegradation and metabolism
1461,ec:1.13.11.1,Xenobiotics biodegradation and metabolism
1462,ec:1.13.11.2,Xenobiotics biodegradation and metabolism
1463,ec:1.13.11.37,Xenobiotics biodegradation and metabolism
1464,ec:1.13.11.39,Xenobiotics biodegradation and metabolism
1465,ec:1.13.11.66,Xenobiotics biodegradation and metabolism
1466,ec:1.14.12.3,Xenobiotics biodegradation and metabolism
1467,ec:1.14.13.20,Xenobiotics biodegradation and metabolism
1468,ec:1.14.13.50,Xenobiotics biodegradation and metabolism
1469,ec:1.2.1.61,Xenobiotics biodegradation and metabolism
1470,ec:1.3.1.19,Xenobiotics biodegradation and metabolism
1471,ec:1.3.1.32,Xenobiotics biodegradation and metabolism
1472,ec:1.6.5.7,Xenobiotics biodegradation and metabolism
1473,ec:3.1.1.45,Xenobiotics biodegradation and metabolism
1474,ec:3.8.1.2,Xenobiotics biodegradation and metabolism
1475,ec:3.8.1.3,Xenobiotics biodegradation and metabolism
1476,ec:3.8.1.5,Xenobiotics biodegradation and metabolism
1477,ec:5.2.1.10,Xenobiotics biodegradation and metabolism
1478,ec:5.5.1.1,Xenobiotics biodegradation and metabolism
1479,ec:5.5.1.11,Xenobiotics biodegradation and metabolism
1480,ec:5.5.1.7,Xenobiotics biodegradation and metabolism
1481,ec:1.1.1.157,Xenobiotics biodegradation and metabolism
1482,ec:1.1.1.259,Xenobiotics biodegradation and metabolism
1483,ec:1.1.1.312,Xenobiotics biodegradation and metabolism
1484,ec:1.1.1.35,Xenobiotics biodegradation and metabolism
1485,ec:1.1.1.368,Xenobiotics biodegradation and metabolism
1486,ec:1.13.11.1,Xenobiotics biodegradation and metabolism
1487,ec:1.13.11.14,Xenobiotics biodegradation and metabolism
1488,ec:1.13.11.2,Xenobiotics biodegradation and metabolism
1489,ec:1.13.11.3,Xenobiotics biodegradation and metabolism
1490,ec:1.13.11.37,Xenobiotics biodegradation and metabolism
1491,ec:1.13.11.8,Xenobiotics biodegradation and metabolism
1492,ec:1.14.12.10,Xenobiotics biodegradation and metabolism
1493,ec:1.14.12.14,Xenobiotics biodegradation and metabolism
1494,ec:1.14.12.3,Xenobiotics biodegradation and metabolism
1495,ec:1.14.13.12,Xenobiotics biodegradation and metabolism
1496,ec:1.14.13.2,Xenobiotics biodegradation and metabolism
1497,ec:1.14.13.208,Xenobiotics biodegradation and metabolism
1498,ec:1.14.13.219,Xenobiotics biodegradation and metabolism
1499,ec:1.14.13.220,Xenobiotics biodegradation and metabolism
1500,ec:1.14.13.23,Xenobiotics biodegradation and metabolism
1501,ec:1.14.13.24,Xenobiotics biodegradation and metabolism
1502,ec:1.14.13.33,Xenobiotics biodegradation and metabolism
1503,ec:1.14.13.64,Xenobiotics biodegradation and metabolism
1504,ec:1.14.14.27,Xenobiotics biodegradation and metabolism
1505,ec:1.14.99.15,Xenobiotics biodegradation and metabolism
1506,ec:1.14.99.23,Xenobiotics biodegradation and metabolism
1507,ec:1.2.1.10,Xenobiotics biodegradation and metabolism
1508,ec:1.2.1.77,Xenobiotics biodegradation and metabolism
1509,ec:1.2.1.85,Xenobiotics biodegradation and metabolism
1510,ec:1.3.1.19,Xenobiotics biodegradation and metabolism
1511,ec:1.3.1.25,Xenobiotics biodegradation and metabolism
1512,ec:1.3.1.32,Xenobiotics biodegradation and metabolism
1513,ec:1.3.1.62,Xenobiotics biodegradation and metabolism
1514,ec:1.3.7.8,Xenobiotics biodegradation and metabolism
1515,ec:1.3.7.9,Xenobiotics biodegradation and metabolism
1516,ec:1.3.8.10,Xenobiotics biodegradation and metabolism
1517,ec:1.3.8.11,Xenobiotics biodegradation and metabolism
1518,ec:1.3.8.6,Xenobiotics biodegradation and metabolism
1519,ec:1.3.99.32,Xenobiotics biodegradation and metabolism
1520,ec:2.3.1.16,Xenobiotics biodegradation and metabolism
1521,ec:2.3.1.174,Xenobiotics biodegradation and metabolism
1522,ec:2.3.1.9,Xenobiotics biodegradation and metabolism
1523,ec:2.8.3.6,Xenobiotics biodegradation and metabolism
1524,ec:3.1.1.24,Xenobiotics biodegradation and metabolism
1525,ec:3.1.1.57,Xenobiotics biodegradation and metabolism
1526,ec:3.1.2.23,Xenobiotics biodegradation and metabolism
1527,ec:3.7.1.21,Xenobiotics biodegradation and metabolism
1528,ec:3.7.1.9,Xenobiotics biodegradation and metabolism
1529,ec:4.1.1.103,Xenobiotics biodegradation and metabolism
1530,ec:4.1.1.44,Xenobiotics biodegradation and metabolism
1531,ec:4.1.1.46,Xenobiotics biodegradation and metabolism
1532,ec:4.1.1.63,Xenobiotics biodegradation and metabolism
1533,ec:4.1.1.70,Xenobiotics biodegradation and metabolism
1534,ec:4.1.1.77,Xenobiotics biodegradation and metabolism
1535,ec:4.1.2.44,Xenobiotics biodegradation and metabolism
1536,ec:4.1.3.17,Xenobiotics biodegradation and metabolism
1537,ec:4.1.3.39,Xenobiotics biodegradation and metabolism
1538,ec:4.2.1.100,Xenobiotics biodegradation and metabolism
1539,ec:4.2.1.17,Xenobiotics biodegradation and metabolism
1540,ec:4.2.1.80,Xenobiotics biodegradation and metabolism
1541,ec:4.2.1.83,Xenobiotics biodegradation and metabolism
1542,ec:5.3.2.6,Xenobiotics biodegradation and metabolism
1543,ec:5.3.2.8,Xenobiotics biodegradation and metabolism
1544,ec:5.3.3.4,Xenobiotics biodegradation and metabolism
1545,ec:5.5.1.1,Xenobiotics biodegradation and metabolism
1546,ec:5.5.1.2,Xenobiotics biodegradation and metabolism
1547,ec:5.5.1.5,Xenobiotics biodegradation and metabolism
1548,ec:6.2.1.25,Xenobiotics biodegradation and metabolism
1549,ec:6.2.1.27,Xenobiotics biodegradation and metabolism
1550,ec:1.13.11.41,Xenobiotics biodegradation and metabolism
1551,ec:1.14.13.84,Xenobiotics biodegradation and metabolism
1552,ec:3.1.1.2,Xenobiotics biodegradation and metabolism
1553,ec:1.13.11.1,Xenobiotics biodegradation and metabolism
1554,ec:1.14.12.10,Xenobiotics biodegradation and metabolism
1555,ec:1.14.12.13,Xenobiotics biodegradation and metabolism
1556,ec:1.14.13.50,Xenobiotics biodegradation and metabolism
1557,ec:1.21.1.2,Xenobiotics biodegradation and metabolism
1558,ec:1.3.1.25,Xenobiotics biodegradation and metabolism
1559,ec:1.3.1.32,Xenobiotics biodegradation and metabolism
1560,ec:3.1.1.45,Xenobiotics biodegradation and metabolism
1561,ec:3.5.5.6,Xenobiotics biodegradation and metabolism
1562,ec:3.8.1.7,Xenobiotics biodegradation and metabolism
1563,ec:4.2.1.84,Xenobiotics biodegradation and metabolism
1564,ec:5.5.1.1,Xenobiotics biodegradation and metabolism
1565,ec:5.5.1.7,Xenobiotics biodegradation and metabolism
1566,ec:6.2.1.33,Xenobiotics biodegradation and metabolism
1567,ec:1.1.3.47,Xenobiotics biodegradation and metabolism
1568,ec:1.3.99.8,Xenobiotics biodegradation and metabolism
1569,ec:6.2.1.31,Xenobiotics biodegradation and metabolism
1570,ec:1.1.1.110,Amino acid metabolism
1571,ec:1.1.1.190,Amino acid metabolism
1572,ec:1.1.1.191,Amino acid metabolism
1573,ec:1.1.1.35,Amino acid metabolism
1574,ec:1.10.3.4,Amino acid metabolism
1575,ec:1.11.1.21,Amino acid metabolism
1576,ec:1.11.1.6,Amino acid metabolism
1577,ec:1.13.11.10,Amino acid metabolism
1578,ec:1.13.11.11,Amino acid metabolism
1579,ec:1.13.11.17,Amino acid metabolism
1580,ec:1.13.11.23,Amino acid metabolism
1581,ec:1.13.11.52,Amino acid metabolism
1582,ec:1.13.11.6,Amino acid metabolism
1583,ec:1.13.12.3,Amino acid metabolism
1584,ec:1.13.99.3,Amino acid metabolism
1585,ec:1.14.13.125,Amino acid metabolism
1586,ec:1.14.13.168,Amino acid metabolism
1587,ec:1.14.13.9,Amino acid metabolism
1588,ec:1.14.14.1,Amino acid metabolism
1589,ec:1.14.14.45,Amino acid metabolism
1590,ec:1.14.14.8,Amino acid metabolism
1591,ec:1.14.16.3,Amino acid metabolism
1592,ec:1.14.16.4,Amino acid metabolism
1593,ec:1.14.99.2,Amino acid metabolism
1594,ec:1.2.1.3,Amino acid metabolism
1595,ec:1.2.1.32,Amino acid metabolism
1596,ec:1.2.3.1,Amino acid metabolism
1597,ec:1.2.3.7,Amino acid metabolism
1598,ec:1.2.4.2,Amino acid metabolism
1599,ec:1.3.1.18,Amino acid metabolism
1600,ec:1.3.8.6,Amino acid metabolism
1601,ec:1.4.3.2,Amino acid metabolism
1602,ec:1.4.3.22,Amino acid metabolism
1603,ec:1.4.3.4,Amino acid metabolism
1604,ec:1.7.3.2,Amino acid metabolism
1605,ec:2.1.1.4,Amino acid metabolism
1606,ec:2.1.1.47,Amino acid metabolism
1607,ec:2.1.1.49,Amino acid metabolism
1608,ec:2.3.1.87,Amino acid metabolism
1609,ec:2.3.1.9,Amino acid metabolism
1610,ec:2.4.1.195,Amino acid metabolism
1611,ec:2.6.1.27,Amino acid metabolism
1612,ec:2.6.1.7,Amino acid metabolism
1613,ec:2.6.1.99,Amino acid metabolism
1614,ec:2.8.2.24,Amino acid metabolism
1615,ec:3.2.1.147,Amino acid metabolism
1616,ec:3.5.1.4,Amino acid metabolism
1617,ec:3.5.1.9,Amino acid metabolism
1618,ec:3.5.5.1,Amino acid metabolism
1619,ec:3.5.99.5,Amino acid metabolism
1620,ec:3.7.1.3,Amino acid metabolism
1621,ec:4.1.1.105,Amino acid metabolism
1622,ec:4.1.1.28,Amino acid metabolism
1623,ec:4.1.1.43,Amino acid metabolism
1624,ec:4.1.1.45,Amino acid metabolism
1625,ec:4.1.1.74,Amino acid metabolism
1626,ec:4.1.99.1,Amino acid metabolism
1627,ec:4.2.1.17,Amino acid metabolism
1628,ec:4.2.1.84,Amino acid metabolism
1629,ec:4.99.1.6,Amino acid metabolism
1630,ec:1.1.1.24,Amino acid metabolism
1631,ec:1.1.1.25,Amino acid metabolism
1632,ec:1.1.1.282,Amino acid metabolism
1633,ec:1.1.5.8,Amino acid metabolism
1634,ec:1.14.16.1,Amino acid metabolism
1635,ec:1.3.1.12,Amino acid metabolism
1636,ec:1.3.1.13,Amino acid metabolism
1637,ec:1.3.1.43,Amino acid metabolism
1638,ec:1.3.1.78,Amino acid metabolism
1639,ec:1.3.1.79,Amino acid metabolism
1640,ec:1.4.1.20,Amino acid metabolism
1641,ec:1.4.1.24,Amino acid metabolism
1642,ec:1.4.3.2,Amino acid metabolism
1643,ec:2.2.1.10,Amino acid metabolism
1644,ec:2.2.1.11,Amino acid metabolism
1645,ec:2.4.2.18,Amino acid metabolism
1646,ec:2.5.1.19,Amino acid metabolism
1647,ec:2.5.1.54,Amino acid metabolism
1648,ec:2.6.1.1,Amino acid metabolism
1649,ec:2.6.1.5,Amino acid metabolism
1650,ec:2.6.1.57,Amino acid metabolism
1651,ec:2.6.1.58,Amino acid metabolism
1652,ec:2.6.1.78,Amino acid metabolism
1653,ec:2.6.1.79,Amino acid metabolism
1654,ec:2.6.1.9,Amino acid metabolism
1655,ec:2.7.1.71,Amino acid metabolism
1656,ec:3.3.2.13,Amino acid metabolism
1657,ec:4.1.1.48,Amino acid metabolism
1658,ec:4.1.3.27,Amino acid metabolism
1659,ec:4.1.3.45,Amino acid metabolism
1660,ec:4.2.1.10,Amino acid metabolism
1661,ec:4.2.1.118,Amino acid metabolism
1662,ec:4.2.1.20,Amino acid metabolism
1663,ec:4.2.1.51,Amino acid metabolism
1664,ec:4.2.1.91,Amino acid metabolism
1665,ec:4.2.3.4,Amino acid metabolism
1666,ec:4.2.3.5,Amino acid metabolism
1667,ec:5.3.1.24,Amino acid metabolism
1668,ec:5.4.99.5,Amino acid metabolism
1669,ec:1.13.11.83,Biosynthesis of other secondary metabolites
1670,ec:1.13.12.23,Biosynthesis of other secondary metabolites
1671,ec:1.3.1.12,Biosynthesis of other secondary metabolites
1672,ec:1.3.1.43,Biosynthesis of other secondary metabolites
1673,ec:1.3.8.14,Biosynthesis of other secondary metabolites
1674,ec:2.1.1.284,Biosynthesis of other secondary metabolites
1675,ec:2.1.1.285,Biosynthesis of other secondary metabolites
1676,ec:2.1.3.12,Biosynthesis of other secondary metabolites
1677,ec:2.4.1.302,Biosynthesis of other secondary metabolites
1678,ec:2.5.1.111,Biosynthesis of other secondary metabolites
1679,ec:2.6.1.1,Biosynthesis of other secondary metabolites
1680,ec:2.6.1.5,Biosynthesis of other secondary metabolites
1681,ec:2.6.1.57,Biosynthesis of other secondary metabolites
1682,ec:2.6.1.9,Biosynthesis of other secondary metabolites
1683,ec:6.2.1.53,Biosynthesis of other secondary metabolites
1684,ec:6.3.1.15,Biosynthesis of other secondary metabolites
1685,ec:1.14.11.59,Biosynthesis of other secondary metabolites
1686,ec:1.14.13.138,Biosynthesis of other secondary metabolites
1687,ec:1.14.14.109,Biosynthesis of other secondary metabolites
1688,ec:1.14.14.110,Biosynthesis of other secondary metabolites
1689,ec:1.14.14.153,Biosynthesis of other secondary metabolites
1690,ec:2.1.1.241,Biosynthesis of other secondary metabolites
1691,ec:2.4.1.202,Biosynthesis of other secondary metabolites
1692,ec:4.1.2.8,Biosynthesis of other secondary metabolites
1693,ec:1.13.12.17,Biosynthesis of other secondary metabolites
1694,ec:1.14.11.38,Biosynthesis of other secondary metabolites
1695,ec:1.14.13.217,Biosynthesis of other secondary metabolites
1696,ec:1.14.13.224,Biosynthesis of other secondary metabolites
1697,ec:1.14.14.118,Biosynthesis of other secondary metabolites
1698,ec:1.14.14.119,Biosynthesis of other secondary metabolites
1699,ec:1.14.19.71,Biosynthesis of other secondary metabolites
1700,ec:1.14.19.9,Biosynthesis of other secondary metabolites
1701,ec:1.21.98.2,Biosynthesis of other secondary metabolites
1702,ec:1.4.3.23,Biosynthesis of other secondary metabolites
1703,ec:2.1.1.139,Biosynthesis of other secondary metabolites
1704,ec:2.1.1.164,Biosynthesis of other secondary metabolites
1705,ec:2.1.1.293,Biosynthesis of other secondary metabolites
1706,ec:2.5.1.106,Biosynthesis of other secondary metabolites
1707,ec:2.5.1.107,Biosynthesis of other secondary metabolites
1708,ec:2.5.1.110,Biosynthesis of other secondary metabolites
1709,ec:4.3.3.5,Biosynthesis of other secondary metabolites
1710,ec:1.10.3.16,Biosynthesis of other secondary metabolites
1711,ec:1.14.13.182,Biosynthesis of other secondary metabolites
1712,ec:1.14.13.218,Biosynthesis of other secondary metabolites
1713,ec:2.1.1.327,Biosynthesis of other secondary metabolites
1714,ec:2.3.1.230,Biosynthesis of other secondary metabolites
1715,ec:2.3.1.262,Biosynthesis of other secondary metabolites
1716,ec:2.5.1.121,Biosynthesis of other secondary metabolites
1717,ec:2.6.1.86,Biosynthesis of other secondary metabolites
1718,ec:3.1.2.32,Biosynthesis of other secondary metabolites
1719,ec:3.3.2.15,Biosynthesis of other secondary metabolites
1720,ec:4.1.3.27,Biosynthesis of other secondary metabolites
1721,ec:5.3.3.17,Biosynthesis of other secondary metabolites
1722,ec:6.2.1.32,Biosynthesis of other secondary metabolites
1723,ec:1.1.1.59,Metabolism of other amino acids
1724,ec:1.2.1.15,Metabolism of other amino acids
1725,ec:1.2.1.18,Metabolism of other amino acids
1726,ec:1.2.1.19,Metabolism of other amino acids
1727,ec:1.2.1.3,Metabolism of other amino acids
1728,ec:1.2.1.5,Metabolism of other amino acids
1729,ec:1.3.1.1,Metabolism of other amino acids
1730,ec:1.3.1.2,Metabolism of other amino acids
1731,ec:1.3.8.7,Metabolism of other amino acids
1732,ec:1.4.3.21,Metabolism of other amino acids
1733,ec:1.5.3.14,Metabolism of other amino acids
1734,ec:1.5.3.16,Metabolism of other amino acids
1735,ec:1.5.3.17,Metabolism of other amino acids
1736,ec:1.5.99.6,Metabolism of other amino acids
1737,ec:2.5.1.16,Metabolism of other amino acids
1738,ec:2.5.1.22,Metabolism of other amino acids
1739,ec:2.6.1.18,Metabolism of other amino acids
1740,ec:2.6.1.19,Metabolism of other amino acids
1741,ec:2.6.1.55,Metabolism of other amino acids
1742,ec:2.8.3.3,Metabolism of other amino acids
1743,ec:3.1.2.4,Metabolism of other amino acids
1744,ec:3.4.13.18,Metabolism of other amino acids
1745,ec:3.4.13.20,Metabolism of other amino acids
1746,ec:3.4.13.4,Metabolism of other amino acids
1747,ec:3.4.13.5,Metabolism of other amino acids
1748,ec:3.5.1.21,Metabolism of other amino acids
1749,ec:3.5.1.6,Metabolism of other amino acids
1750,ec:3.5.2.2,Metabolism of other amino acids
1751,ec:4.1.1.11,Metabolism of other amino acids
1752,ec:4.1.1.15,Metabolism of other amino acids
1753,ec:4.1.1.9,Metabolism of other amino acids
1754,ec:4.2.1.17,Metabolism of other amino acids
1755,ec:4.2.1.27,Metabolism of other amino acids
1756,ec:4.3.1.6,Metabolism of other amino acids
1757,ec:6.3.2.1,Metabolism of other amino acids
1758,ec:6.3.2.11,Metabolism of other amino acids
1759,ec:6.3.2.36,Metabolism of other amino acids
1760,ec:1.1.1.313,Metabolism of other amino acids
1761,ec:1.13.11.19,Metabolism of other amino acids
1762,ec:1.13.11.20,Metabolism of other amino acids
1763,ec:1.14.11.17,Metabolism of other amino acids
1764,ec:1.2.1.73,Metabolism of other amino acids
1765,ec:1.4.1.1,Metabolism of other amino acids
1766,ec:1.4.1.2,Metabolism of other amino acids
1767,ec:1.8.1.3,Metabolism of other amino acids
1768,ec:2.3.1.65,Metabolism of other amino acids
1769,ec:2.3.1.8,Metabolism of other amino acids
1770,ec:2.3.2.2,Metabolism of other amino acids
1771,ec:2.3.3.15,Metabolism of other amino acids
1772,ec:2.6.1.55,Metabolism of other amino acids
1773,ec:2.6.1.77,Metabolism of other amino acids
1774,ec:2.7.2.1,Metabolism of other amino acids
1775,ec:2.7.3.4,Metabolism of other amino acids
1776,ec:4.1.1.15,Metabolism of other amino acids
1777,ec:4.1.1.29,Metabolism of other amino acids
1778,ec:4.4.1.10,Metabolism of other amino acids
1779,ec:1.1.1.309,Metabolism of other amino acids
1780,ec:1.11.1.23,Metabolism of other amino acids
1781,ec:1.13.11.72,Metabolism of other amino acids
1782,ec:1.13.11.73,Metabolism of other amino acids
1783,ec:1.13.11.78,Metabolism of other amino acids
1784,ec:1.14.11.46,Metabolism of other amino acids
1785,ec:2.1.1.308,Metabolism of other amino acids
1786,ec:2.1.1.326,Metabolism of other amino acids
1787,ec:2.3.1.183,Metabolism of other amino acids
1788,ec:2.3.3.18,Metabolism of other amino acids
1789,ec:2.3.3.19,Metabolism of other amino acids
1790,ec:2.6.1.37,Metabolism of other amino acids
1791,ec:2.7.7.14,Metabolism of other amino acids
1792,ec:2.7.7.15,Metabolism of other amino acids
1793,ec:2.7.7.93,Metabolism of other amino acids
1794,ec:2.7.8.1,Metabolism of other amino acids
1795,ec:2.7.8.2,Metabolism of other amino acids
1796,ec:2.7.8.23,Metabolism of other amino acids
1797,ec:2.7.8.37,Metabolism of other amino acids
1798,ec:3.1.4.55,Metabolism of other amino acids
1799,ec:3.1.4.57,Metabolism of other amino acids
1800,ec:3.11.1.1,Metabolism of other amino acids
1801,ec:3.11.1.2,Metabolism of other amino acids
1802,ec:3.11.1.3,Metabolism of other amino acids
1803,ec:3.6.1.63,Metabolism of other amino acids
1804,ec:4.1.1.82,Metabolism of other amino acids
1805,ec:4.2.1.166,Metabolism of other amino acids
1806,ec:4.7.1.1,Metabolism of other amino acids
1807,ec:5.4.2.9,Metabolism of other amino acids
1808,ec:1.8.1.9,Metabolism of other amino acids
1809,ec:1.97.1.9,Metabolism of other amino acids
1810,ec:2.1.1.12,Metabolism of other amino acids
1811,ec:2.1.1.13,Metabolism of other amino acids
1812,ec:2.1.1.14,Metabolism of other amino acids
1813,ec:2.1.1.96,Metabolism of other amino acids
1814,ec:2.5.1.48,Metabolism of other amino acids
1815,ec:2.7.1.164,Metabolism of other amino acids
1816,ec:2.7.7.4,Metabolism of other amino acids
1817,ec:2.7.9.3,Metabolism of other amino acids
1818,ec:2.9.1.1,Metabolism of other amino acids
1819,ec:2.9.1.2,Metabolism of other amino acids
1820,ec:4.4.1.1,Metabolism of other amino acids
1821,ec:4.4.1.11,Metabolism of other amino acids
1822,ec:4.4.1.13,Metabolism of other amino acids
1823,ec:4.4.1.16,Metabolism of other amino acids
1824,ec:4.4.1.8,Metabolism of other amino acids
1825,ec:6.1.1.10,Metabolism of other amino acids
1826,ec:1.14.13.39,Metabolism of other amino acids
1827,ec:1.14.14.36,Metabolism of other amino acids
1828,ec:1.14.14.37,Metabolism of other amino acids
1829,ec:1.14.14.38,Metabolism of other amino acids
1830,ec:1.14.14.39,Metabolism of other amino acids
1831,ec:1.14.14.40,Metabolism of other amino acids
1832,ec:1.14.14.41,Metabolism of other amino acids
1833,ec:1.14.14.44,Metabolism of other amino acids
1834,ec:1.4.99.5,Metabolism of other amino acids
1835,ec:2.1.2.1,Metabolism of other amino acids
1836,ec:2.3.2.2,Metabolism of other amino acids
1837,ec:2.4.1.354,Metabolism of other amino acids
1838,ec:2.4.1.63,Metabolism of other amino acids
1839,ec:2.4.1.85,Metabolism of other amino acids
1840,ec:3.2.1.117,Metabolism of other amino acids
1841,ec:3.2.1.118,Metabolism of other amino acids
1842,ec:3.2.1.21,Metabolism of other amino acids
1843,ec:3.5.1.1,Metabolism of other amino acids
1844,ec:3.5.1.49,Metabolism of other amino acids
1845,ec:3.5.5.1,Metabolism of other amino acids
1846,ec:3.5.5.4,Metabolism of other amino acids
1847,ec:4.1.2.10,Metabolism of other amino acids
1848,ec:4.1.2.11,Metabolism of other amino acids
1849,ec:4.1.2.46,Metabolism of other amino acids
1850,ec:4.1.2.47,Metabolism of other amino acids
1851,ec:4.2.1.65,Metabolism of other amino acids
1852,ec:4.2.1.66,Metabolism of other amino acids
1853,ec:4.4.1.9,Metabolism of other amino acids
1854,ec:4.99.1.7,Metabolism of other amino acids
1855,ec:6.3.1.1,Metabolism of other amino acids
1856,ec:1.4.1.3,Metabolism of other amino acids
1857,ec:1.4.3.15,Metabolism of other amino acids
1858,ec:1.4.3.7,Metabolism of other amino acids
1859,ec:2.3.2.1,Metabolism of other amino acids
1860,ec:3.5.1.2,Metabolism of other amino acids
1861,ec:3.5.1.35,Metabolism of other amino acids
1862,ec:3.5.1.38,Metabolism of other amino acids
1863,ec:4.2.1.48,Metabolism of other amino acids
1864,ec:5.1.1.10,Metabolism of other amino acids
1865,ec:5.1.1.3,Metabolism of other amino acids
1866,ec:6.3.2.8,Metabolism of other amino acids
1867,ec:6.3.2.9,Metabolism of other amino acids
1868,ec:1.4.1.12,Metabolism of other amino acids
1869,ec:1.4.1.25,Metabolism of other amino acids
1870,ec:1.4.1.26,Metabolism of other amino acids
1871,ec:1.4.3.3,Metabolism of other amino acids
1872,ec:1.4.99.6,Metabolism of other amino acids
