,EC,Superpathway
127,ec:5.4.2.2,Carbohydrate metabolism
128,ec:5.4.2.7,Carbohydrate metabolism
129,ec:1.1.1.10,Carbohydrate metabolism
130,ec:1.1.1.11,Carbohydrate metabolism
131,ec:1.1.1.12,Carbohydrate metabolism
132,ec:1.1.1.127,Carbohydrate metabolism
133,ec:1.1.1.13,Carbohydrate metabolism
134,ec:1.1.1.130,Carbohydrate metabolism
135,ec:1.1.1.137,Carbohydrate metabolism
136,ec:1.1.1.14,Carbohydrate metabolism
137,ec:1.1.1.15,Carbohydrate metabolism
138,ec:1.1.1.175,Carbohydrate metabolism
139,ec:1.1.1.179,Carbohydrate metabolism
140,ec:1.1.1.19,Carbohydrate metabolism
141,ec:1.1.1.2,Carbohydrate metabolism
142,ec:1.1.1.21,Carbohydrate metabolism
143,ec:1.1.1.22,Carbohydrate metabolism
144,ec:1.1.1.250,Carbohydrate metabolism
145,ec:1.1.1.287,Carbohydrate metabolism
146,ec:1.1.1.307,Carbohydrate metabolism
147,ec:1.1.1.365,Carbohydrate metabolism
148,ec:1.1.1.372,Carbohydrate metabolism
149,ec:1.1.1.380,Carbohydrate metabolism
150,ec:1.1.1.405,Carbohydrate metabolism
151,ec:1.1.1.45,Carbohydrate metabolism
152,ec:1.1.1.56,Carbohydrate metabolism
153,ec:1.1.1.57,Carbohydrate metabolism
154,ec:1.1.1.58,Carbohydrate metabolism
155,ec:1.1.1.9,Carbohydrate metabolism
156,ec:1.1.2.2,Carbohydrate metabolism
157,ec:1.1.3.41,Carbohydrate metabolism
158,ec:1.2.1.26,Carbohydrate metabolism
159,ec:2.4.1.17,Carbohydrate metabolism
160,ec:2.7.1.16,Carbohydrate metabolism
161,ec:2.7.1.17,Carbohydrate metabolism
162,ec:2.7.1.43,Carbohydrate metabolism
163,ec:2.7.1.47,Carbohydrate metabolism
164,ec:2.7.1.5,Carbohydrate metabolism
165,ec:2.7.1.53,Carbohydrate metabolism
166,ec:2.7.7.40,Carbohydrate metabolism
167,ec:2.7.7.44,Carbohydrate metabolism
168,ec:2.7.7.64,Carbohydrate metabolism
169,ec:2.7.7.9,Carbohydrate metabolism
170,ec:3.1.1.11,Carbohydrate metabolism
171,ec:3.2.1.15,Carbohydrate metabolism
172,ec:3.2.1.31,Carbohydrate metabolism
173,ec:3.2.1.67,Carbohydrate metabolism
174,ec:4.1.1.34,Carbohydrate metabolism
175,ec:4.1.1.85,Carbohydrate metabolism
176,ec:4.1.2.19,Carbohydrate metabolism
177,ec:4.1.2.28,Carbohydrate metabolism
178,ec:4.1.2.54,Carbohydrate metabolism
179,ec:4.2.1.141,Carbohydrate metabolism
180,ec:4.2.1.146,Carbohydrate metabolism
181,ec:4.2.1.7,Carbohydrate metabolism
182,ec:4.2.1.8,Carbohydrate metabolism
183,ec:4.2.1.82,Carbohydrate metabolism
184,ec:4.2.2.2,Carbohydrate metabolism
185,ec:4.2.2.6,Carbohydrate metabolism
186,ec:4.2.2.9,Carbohydrate metabolism
187,ec:5.1.2.7,Carbohydrate metabolism
188,ec:5.1.3.1,Carbohydrate metabolism
189,ec:5.1.3.22,Carbohydrate metabolism
190,ec:5.1.3.4,Carbohydrate metabolism
191,ec:5.3.1.12,Carbohydrate metabolism
192,ec:5.3.1.15,Carbohydrate metabolism
193,ec:5.3.1.17,Carbohydrate metabolism
194,ec:5.3.1.4,Carbohydrate metabolism
195,ec:5.3.1.5,Carbohydrate metabolism
196,ec:1.1.1.11,Carbohydrate metabolism
197,ec:1.1.1.122,Carbohydrate metabolism
198,ec:1.1.1.132,Carbohydrate metabolism
199,ec:1.1.1.135,Carbohydrate metabolism
200,ec:1.1.1.138,Carbohydrate metabolism
201,ec:1.1.1.14,Carbohydrate metabolism
202,ec:1.1.1.140,Carbohydrate metabolism
203,ec:1.1.1.15,Carbohydrate metabolism
204,ec:1.1.1.17,Carbohydrate metabolism
205,ec:1.1.1.173,Carbohydrate metabolism
206,ec:1.1.1.187,Carbohydrate metabolism
207,ec:1.1.1.21,Carbohydrate metabolism
208,ec:1.1.1.271,Carbohydrate metabolism
209,ec:1.1.1.281,Carbohydrate metabolism
210,ec:1.1.1.289,Carbohydrate metabolism
211,ec:1.1.1.377,Carbohydrate metabolism
212,ec:1.1.1.378,Carbohydrate metabolism
213,ec:1.1.1.401,Carbohydrate metabolism
