EC1_EC2	Num_of_prots
5.4.2.4_5.4.2.11	18
3.5.4.4_3.5.4.31	18
3.5.4.41_3.5.4.28	18
3.5.4.4_3.5.4.28	18
5.3.1.24_5.3.1.16	18
3.5.4.41_3.5.4.31	18
2.7.7.18_2.7.7.1	18
3.1.3.33_2.1.1.56	18
1.5.1.50_1.5.1.3	18
3.5.4.41_3.5.4.4	18
2.3.1.41_1.1.1.100	17
3.1.1.5_3.1.1.4	17
3.4.11.5_3.4.11.1	17
2.7.11.1_2.7.10.2	16
2.4.1.347_2.4.1.15	16
6.3.2.5_4.1.1.36	16
2.7.7.2_2.7.1.26	16
5.3.3.12_5.3.2.1	16
3.1.12.2_3.1.11.7	15
3.6.1.23_2.7.7.49	15
2.3.3.5_2.3.3.16	15
2.4.1.225_2.4.1.224	15
2.7.4.24_2.7.4.21	15
6.3.2.3_6.3.2.2	15
1.21.4.3_1.21.4.2	15
1.21.4.4_1.21.4.2	15
1.21.4.4_1.21.4.3	15
2.3.1.61_1.2.4.2	14
4.1.3.27_4.1.1.48	14
3.2.1.n1_3.2.1.22	14
4.3.1.19_4.3.1.17	14
3.6.4.13_3.4.22.28	14
3.5.4.26_1.1.1.193	14
2.3.1.231_2.1.1.290	14
1.8.4.14_1.8.4.12	14
4.2.1.147_4.1.2.43	14
4.2.1.59_3.1.2.14	13
3.1.2.14_2.3.1.38	13
3.1.2.14_2.3.1.39	13
4.2.1.59_2.3.1.38	13
4.2.1.59_2.3.1.39	13
4.1.1.71_2.2.1.5	13
2.4.1.150_2.4.1.102	13
1.1.1.234_1.1.1.219	13
4.1.1.71_1.2.4.2	13
2.3.1.61_2.2.1.5	13
2.3.1.39_2.3.1.38	13
4.1.1.71_2.3.1.61	13
3.1.1.81_3.1.1.2	13
4.1.1.23_2.4.2.10	13
2.4.1.150_2.4.1.148	13
2.2.1.5_1.2.4.2	13
5.4.99.29_5.4.99.28	13
2.4.1.257_2.4.1.132	13
1.1.1.62_1.1.1.239	13
1.1.1.54_1.1.1.372	13
2.4.1.90_2.4.1.38	13
2.4.1.148_2.4.1.102	13
1.3.1.20_1.1.1.179	12
3.4.23.47_3.1.13.2	12
2.3.1.67_2.3.1.23	12
5.4.99.5_4.2.1.51	12
2.3.1.86_1.1.1.100	12
3.4.23.47_3.1.26.13	12
5.3.1.24_4.1.3.27	12
3.4.23.47_2.7.7.49	12
3.4.23.47_2.7.7.7	12
3.5.1.28_3.2.1.96	12
3.1.3.48_3.1.3.2	12
5.2.1.8_2.3.2.27	12
2.3.1.86_2.3.1.41	12
2.7.1.29_2.7.1.28	12
2.7.2.11_1.2.1.41	12
2.7.2.4_1.1.1.3	12
7.2.2.12_3.6.3.3	12
4.1.2.13_3.1.3.11	11
3.1.8.1_3.1.1.2	11
2.6.1.79_2.6.1.1	11
3.6.1.23_2.7.7.7	11
2.7.11.1_2.7.10.1	11
1.8.5.1_1.20.4.2	11
2.5.1.18_1.20.4.2	11
2.7.6.3_2.5.1.15	11
1.1.1.62_1.1.1.330	11
2.6.1.3_2.6.1.1	11
2.7.4.6_2.7.4.14	11
3.6.1.23_3.1.26.4	11
6.2.1.17_6.2.1.1	11
2.6.1.7_2.6.1.1	11
1.1.1.9_1.1.1.14	11
6.3.4.13_6.3.3.1	11
2.6.1.22_2.6.1.19	11
5.3.3.22_3.1.1.64	11
2.5.1.59_2.5.1.58	11
2.3.1.n7_2.3.1.n6	10
3.5.1.1_3.4.19.5	10
2.4.1.69_2.4.1.344	10
6.3.4.3_1.5.1.5	10
1.14.14.1_1.14.13.n7	10
2.3.1.n7_2.3.1.23	10
6.3.5.5_2.1.3.2	10
4.2.1.109_3.1.3.77	10
1.2.1.27_1.2.1.18	10
1.13.11.33_1.13.11.31	10
2.7.11.31_2.7.11.1	10
3.6.1.9_3.1.4.1	10
2.4.99.13_2.4.99.12	10
2.3.1.n6_2.3.1.23	10
6.3.4.3_3.5.4.9	10
2.7.11.27_2.7.11.1	10
2.7.11.31_2.7.11.27	10
3.1.2.1_2.3.1.268	10
2.6.1.17_2.6.1.11	10
3.1.3.91_3.1.3.5	10
1.1.1.53_1.1.1.209	10
1.2.1.47_1.2.1.3	10
3.1.3.25_3.1.3.11	10
2.4.1.226_2.4.1.175	10
3.4.22.46_3.4.22.28	9
3.6.1.16_3.6.1.13	9
3.2.1.21_3.2.1.20	9
3.1.3.67_3.1.3.48	9
3.2.1.45_3.2.1.104	9
2.3.2.25_2.3.2.23	9
2.7.8.2_2.7.8.1	9
1.1.1.270_1.1.1.210	9
5.1.1.18_4.3.1.18	9
4.99.1.3_4.99.1.11	9
3.1.3.86_3.1.3.56	9
3.6.1.53_3.6.1.13	9
3.6.1.53_3.6.1.16	9
3.1.3.94_3.1.3.25	9
3.5.4.9_1.5.1.15	9
3.6.1.15_3.4.22.46	9
2.3.1.76_2.3.1.20	9
4.1.3.16_4.1.2.14	9
6.2.1.5_6.2.1.4	9
2.1.1.64_2.1.1.114	9
3.1.3.53_3.1.3.16	9
6.3.1.2_2.3.1.225	9
3.1.3.56_3.1.3.36	9
4.3.1.18_4.3.1.17	9
2.6.1.51_2.6.1.44	9
5.1.1.18_4.3.1.17	9
3.4.22.46_2.7.7.48	9
3.1.1.4_1.11.1.15	9
4.4.1.13_2.6.1.7	9
6.3.5.12_6.3.5.11	9
2.3.1.9_2.3.1.16	8
1.1.1.189_1.1.1.184	8
3.1.8.1_3.1.1.81	8
3.1.4.53_3.1.4.35	8
2.6.1.101_2.6.1.100	8
2.7.7.52_2.7.7.19	8
2.3.1.38_1.3.1.9	8
5.1.3.7_5.1.3.2	8
4.3.1.32_2.5.1.147	8
2.7.1.22_2.7.1.173	8
4.2.1.79_4.2.1.3	8
2.3.1.16_2.3.1.155	8
3.2.1.55_3.2.1.37	8
4.2.1.59_1.3.1.9	8
1.14.14.73_1.14.13.8	8
1.1.1.197_1.1.1.189	8
1.1.1.197_1.1.1.184	8
3.1.2.2_3.1.2.1	8
1.14.13.8_1.14.13.148	8
3.4.19.14_2.3.2.2	8
1.1.1.54_1.1.1.300	8
1.14.14.73_1.14.13.148	8
3.4.19.14_3.4.19.13	8
2.7.1.49_2.5.1.3	8
4.5.1.1_2.5.1.18	8
1.14.20.6_1.14.11.9	8
3.1.2.14_1.3.1.9	8
1.3.1.94_1.3.1.22	8
3.6.1.23_3.1.13.2	8
6.3.2.6_4.1.1.21	8
2.3.1.39_1.3.1.9	8
1.1.1.93_1.1.1.83	7
1.1.1.62_1.1.1.270	7
2.4.1.38_2.4.1.22	7
1.1.1.372_1.1.1.20	7
2.7.7.75_2.10.1.1	7
3.1.3.81_3.1.3.4	7
3.2.2.6_2.4.99.20	7
3.2.1.21_3.2.1.182	7
1.1.1.209_1.1.1.105	7
2.7.1.82_2.7.1.32	7
6.2.1.25_6.2.1.2	7
2.1.1.71_2.1.1.17	7
6.3.4.13_2.1.2.2	7
2.3.1.86_2.3.1.39	7
2.3.1.86_2.3.1.38	7
6.2.1.24_6.2.1.15	7
6.3.5.5_3.5.2.3	7
2.3.1.51_2.3.1.15	7
4.2.1.119_1.1.1.n12	7
3.2.1.n2_3.2.1.22	7
6.3.2.17_6.3.2.12	7
4.1.1.29_4.1.1.11	7
4.1.1.73_1.1.1.83	7
1.1.1.20_1.1.1.2	7
3.2.1.n2_3.2.1.n1	7
2.3.1.48_2.3.1.259	7
1.6.2.4_1.14.14.1	7
4.1.1.73_1.1.1.93	7
5.5.1.12_4.2.3.32	7
2.7.1.151_2.7.1.140	7
6.2.1.3_6.2.1.24	7
3.1.2.14_2.3.1.86	7
1.1.1.2_1.1.1.19	7
3.1.3.80_3.1.3.62	7
4.2.1.59_2.3.1.86	7
1.1.1.54_1.1.1.2	7
6.3.3.1_2.1.2.2	7
2.3.1.86_1.3.1.9	7
1.1.1.369_1.1.1.18	7
4.3.2.5_1.14.17.3	7
1.3.1.74_1.3.1.48	7
5.4.2.8_5.4.2.2	7
3.6.1.6_3.6.1.42	7
1.1.1.53_1.1.1.105	7
1.1.1.54_1.1.1.19	7
2.4.1.90_2.4.1.22	7
1.1.1.20_1.1.1.19	7
1.1.1.372_1.1.1.19	7
1.1.1.54_1.1.1.20	7
2.7.4.6_2.7.13.3	7
2.7.11.1_2.7.1.153	7
1.1.1.372_1.1.1.2	7
3.5.2.3_2.1.3.2	7
4.4.1.9_2.5.1.47	7
2.4.99.14_2.4.99.12	6
2.4.99.14_2.4.99.13	6
1.1.1.95_1.1.1.37	6
1.1.1.372_1.1.1.33	6
1.1.1.53_1.1.1.315	6
1.14.20.7_1.13.12.19	6
4.6.1.17_4.1.99.22	6
3.5.4.19_1.1.1.23	6
3.1.1.79_3.1.1.23	6
1.14.11.62_1.14.11.61	6
1.1.1.33_1.1.1.20	6
3.1.1.6_3.1.1.23	6
5.3.1.9_5.3.1.8	6
4.3.1.4_2.1.2.5	6
3.1.1.3_3.1.1.26	6
4.1.2.25_2.7.6.3	6
1.2.1.95_1.2.1.31	6
7.6.2.3_7.6.2.2	6
2.3.1.51_2.3.1.23	6
3.6.1.31_1.1.1.23	6
3.1.2.27_3.1.2.2	6
1.1.1.33_1.1.1.2	6
1.1.1.372_1.1.1.300	6
1.17.3.2_1.17.1.4	6
1.1.1.399_1.1.1.37	6
3.6.4.12_1.14.11.6	6
4.4.1.2_4.4.1.11	6
1.23.1.2_1.23.1.1	6
2.1.1.221_2.1.1.218	6
5.3.1.8_2.7.7.13	6
1.19.1.1_1.18.1.2	6
5.5.1.12_4.2.3.132	6
6.2.1.2_6.2.1.17	6
2.4.1.261_2.4.1.259	6
1.2.7.7_1.2.7.1	6
1.1.1.372_1.1.1.21	6
3.5.5.5_3.5.5.1	6
2.6.1.78_2.6.1.1	6
3.1.1.79_3.1.1.6	6
3.1.3.67_3.1.3.16	6
1.1.1.54_1.1.1.21	6
1.1.1.33_1.1.1.19	6
1.1.1.381_1.1.1.298	6
3.6.1.64_3.6.1.62	6
1.1.1.300_1.1.1.21	6
1.1.1.315_1.1.1.209	6
1.1.1.54_1.1.1.33	6
3.6.1.60_3.6.1.52	6
4.6.1.15_2.7.1.29	5
4.6.1.15_2.7.1.28	5
1.11.1.7_1.11.1.19	5
1.3.8.8_1.3.8.7	5
4.2.3.32_4.2.3.132	5
4.2.1.59_1.3.1.39	5
5.3.3.1_1.1.1.270	5
3.6.1.45_3.1.3.5	5
2.3.1.39_1.1.1.100	5
3.4.21.113_2.7.7.48	5
1.14.19.17_1.14.18.5	5
2.7.1.94_2.7.1.107	5
3.6.4.13_3.4.21.113	5
2.7.1.48_2.4.2.9	5
4.1.3.6_4.1.3.34	5
1.5.5.3_1.5.5.2	5
1.5.1.9_1.5.1.8	5
3.6.1.22_3.6.1.13	5
2.3.1.85_1.3.1.39	5
2.4.1.66_1.14.11.4	5
2.3.1.41_2.3.1.38	5
2.3.1.41_2.3.1.39	5
2.7.4.7_2.5.1.3	5
2.7.7.62_2.7.1.156	5
3.5.1.62_3.5.1.48	5
1.5.5.2_1.2.1.88	5
2.3.1.71_2.3.1.13	5
2.4.1.66_2.4.1.50	5
1.14.14.26_1.14.14.23	5
5.1.3.3_5.1.3.2	5
2.7.8.34_2.7.7.74	5
4.2.3.18_4.2.3.132	5
1.8.98.6_1.8.98.5	5
2.3.1.38_1.3.1.39	5
1.3.1.39_1.1.1.100	5
1.1.1.210_1.1.1.145	5
1.2.1.7_1.2.1.28	5
5.4.99.5_4.2.99.21	5
1.1.1.35_1.1.1.178	5
2.7.7.83_2.7.7.23	5
3.1.2.14_2.3.1.41	5
6.3.4.15_6.3.4.11	5
3.1.2.14_1.1.1.100	5
2.7.11.27_2.7.11.26	5
2.7.2.8_1.2.1.38	5
4.4.1.13_2.6.1.63	5
2.3.1.39_1.3.1.39	5
5.3.3.1_1.1.1.210	5
2.7.4.6_2.7.4.10	5
3.1.2.2_2.3.1.9	5
2.6.1.44_2.6.1.40	5
2.7.1.94_2.7.1.138	5
4.2.3.106_4.2.3.105	5
3.1.2.2_2.3.1.16	5
5.4.3.6_4.3.1.23	5
3.1.2.1_2.3.1.9	5
3.1.2.14_2.3.1.85	5
3.2.1.33_2.4.1.25	5
1.5.3.7_1.5.3.1	5
4.2.1.59_2.3.1.85	5
2.7.4.23_2.4.2.4	5
7.6.2.2_7.6.2.1	5
2.8.1.6_2.6.1.62	5
3.1.4.16_3.1.3.6	5
3.1.3.7_3.1.3.57	5
5.5.1.12_4.2.3.18	5
2.7.1.138_2.7.1.107	5
4.1.1.112_3.7.1.5	5
3.6.1.15_3.4.21.113	5
2.6.1.7_2.6.1.63	5
3.1.3.48_3.1.3.21	5
2.1.1.348_2.1.1.346	5
5.2.1.2_2.5.1.18	5
2.3.1.85_2.3.1.38	5
2.3.1.85_2.3.1.39	5
2.7.11.31_2.7.11.26	5
3.1.2.14_1.3.1.39	5
3.1.2.1_2.3.1.16	5
2.3.1.85_1.1.1.100	5
2.3.1.38_1.1.1.100	5
2.3.1.85_2.3.1.41	5
1.1.1.51_1.1.1.35	5
2.7.3.9_2.7.1.202	5
4.2.1.59_2.3.1.41	5
4.2.1.59_1.1.1.100	5
3.2.1.48_3.2.1.10	5
1.14.15.5_1.14.15.4	5
2.3.1.41_1.3.1.39	5
1.1.1.270_1.1.1.145	5
6.3.2.30_6.3.2.29	5
4.2.2.2_4.2.2.10	5
1.2.1.94_1.2.1.3	5
2.4.1.50_1.14.11.4	5
2.1.1.33_2.1.1.297	5
2.5.1.87_2.5.1.86	5
1.1.1.51_1.1.1.178	5
2.1.1.96_2.1.1.49	4
4.1.2.25_2.5.1.15	4
1.1.1.62_1.1.1.105	4
5.4.4.2_4.2.99.21	4
2.4.1.90_2.4.1.275	4
3.1.3.74_3.1.3.3	4
3.2.1.41_3.2.1.1	4
2.3.1.67_2.3.1.121	4
1.3.99.n1_1.3.7.8	4
3.2.1.17_3.2.1.14	4
2.7.11.26_2.7.11.19	4
3.1.1.32_3.1.1.26	4
3.1.3.4_3.1.3.27	4
3.6.1.58_2.7.7.96	4
3.5.5.4_3.5.5.1	4
4.2.3.93_4.2.3.87	4
4.1.1.74_4.1.1.43	4
