EC1_EC2	Num_of_prots
4.2.1.33_4.2.1.31	2
1.2.1.87_1.2.1.10	2
3.2.1.8_3.1.1.72	2
1.1.1.47_1.1.1.120	2
2.6.1.44_2.6.1.4	2
2.6.1.44_2.6.1.2	2
5.5.1.17_4.2.3.16	2
5.5.1.17_4.2.3.15	2
4.2.3.43_2.5.1.29	2
4.2.1.65_3.5.5.1	2
5.1.1.3_5.1.1.1	2
3.1.2.14_3.1.1.5	2
4.1.1.97_1.7.3.3	2
1.23.1.4_1.23.1.1	2
3.1.2.2_3.1.1.2	2
3.1.2.2_3.1.1.5	2
5.1.1.3_5.1.1.13	2
1.1.1.64_1.1.1.239	2
1.1.1.64_1.1.1.357	2
3.1.1.67_3.1.1.1	2
2.8.1.2_2.8.1.1	2
3.4.13.9_3.1.8.2	2
3.5.3.11_3.5.3.1	2
2.1.1.42_2.1.1.4	2
2.4.1.149_2.4.1.146	2
1.1.1.357_1.1.1.239	2
4.2.3.25_4.2.3.16	2
4.2.3.25_4.2.3.15	2
2.3.2.32_2.3.2.27	2
1.8.1.19_1.18.1.2	2
1.3.1.20_1.1.1.64	2
4.2.3.94_4.2.3.47	2
3.2.2.21_2.1.1.n11	2
2.1.1.274_2.1.1.273	2
2.6.1.79_2.6.1.78	2
3.1.3.68_3.1.3.22	2
3.1.3.68_3.1.3.23	2
2.5.1.114_2.1.1.282	2
3.5.1.93_2.3.2.2	2
1.1.1.188_1.1.1.112	2
2.5.1.27_2.5.1.112	2
2.4.1.83_2.3.1.269	2
3.1.1.56_3.1.1.1	2
3.2.1.74_3.2.1.21	2
4.2.1.6_4.2.1.140	2
5.5.1.12_4.2.3.44	2
6.3.2.14_2.7.7.58	2
1.2.1.3_1.2.1.19	2
4.3.2.1_2.3.1.1	2
2.4.1.126_2.4.1.111	2
1.14.14.80_1.14.14.1	2
2.3.1.76_2.3.1.75	2
3.1.3.2_1.11.1.7	2
5.3.99.5_4.2.1.152	2
4.2.99.18_1.14.11.33	2
1.3.1.60_1.3.1.29	2
4.2.3.77_4.2.3.57	2
1.3.1.20_1.1.1.188	2
3.1.1.5_3.1.1.2	2
2.7.7.n6_2.7.7.n1	2
4.6.1.22_3.1.21.1	2
2.7.1.172_2.7.1.171	2
1.1.1.347_1.1.1.144	2
4.1.1.12_2.6.1.1	2
1.1.1.357_1.1.1.112	2
4.2.3.81_4.2.3.47	2
1.14.14.79_1.14.14.78	2
4.2.3.75_4.2.3.22	2
6.3.3.3_2.6.1.62	2
3.5.4.16_2.7.6.3	2
4.2.3.120_4.2.3.119	2
1.1.1.239_1.1.1.112	2
4.2.3.55_4.2.3.15	2
4.2.3.55_4.2.3.16	2
4.2.3.81_4.2.3.55	2
2.7.1.73_2.7.1.213	2
1.1.1.9_1.1.1.56	2
1.14.13.29_1.14.13.166	2
1.1.99.40_1.1.2.4	2
2.5.1.18_1.11.1.9	2
2.1.1.227_2.1.1.226	2
1.14.14.51_1.14.14.1	2
4.2.3.55_4.2.3.113	2
3.2.2.3_3.2.2.2	2
2.5.1.23_2.5.1.16	2
1.2.1.3_1.1.1.4	2
4.2.1.6_4.2.1.39	2
2.3.1.9_2.3.1.155	2
1.14.14.94_1.14.14.79	2
3.2.1.14_3.2.1.132	2
6.3.2.42_6.3.2.41	2
4.2.3.77_4.2.3.133	2
1.2.1.47_1.2.1.19	2
6.2.1.40_6.2.1.2	2
6.2.1.40_6.2.1.1	2
2.7.7.9_2.7.7.23	2
1.1.1.64_1.1.1.112	2
2.1.1.44_1.14.99.51	2
3.1.3.93_3.1.3.25	2
3.1.1.3_2.3.1.51	2
1.14.11.51_1.14.11.33	2
2.5.1.79_2.5.1.16	2
2.1.1.68_2.1.1.42	2
1.14.14.94_1.14.14.1	2
5.1.3.9_2.7.1.60	2
6.3.4.6_3.5.1.54	2
4.2.3.48_4.2.3.25	2
2.3.1.5_2.3.1.118	2
2.5.1.49_2.5.1.47	2
3.1.2.2_3.1.2.14	2
4.2.3.55_4.2.3.25	2
5.4.3.10_4.3.1.24	2
4.2.3.57_4.2.3.133	2
2.1.1.68_2.1.1.4	2
4.2.1.35_4.2.1.31	2
4.2.1.35_4.2.1.33	2
3.1.3.74_3.1.3.23	2
1.14.14.53_1.14.14.52	2
1.14.14.53_1.14.14.51	2
1.14.14.53_1.14.14.1	2
1.14.19.68_1.14.19.64	2
1.5.1.21_1.4.1.17	2
4.1.3.43_4.1.3.39	2
6.3.2.17_2.5.1.15	2
3.1.2.14_3.1.1.2	2
2.7.1.2_2.7.1.1	2
3.1.3.68_3.1.3.50	2
3.5.1.93_3.4.19.13	2
2.5.1.57_2.5.1.56	2
4.2.3.25_4.2.3.113	2
1.8.5.3_1.7.2.3	2
3.1.7.9_3.1.7.8	2
4.2.1.39_4.2.1.140	2
3.1.1.72_3.1.1.41	2
5.5.1.17_4.2.3.55	2
2.3.1.42_2.3.1.15	2
2.5.1.79_2.5.1.22	2
4.1.2.51_4.1.2.14	2
5.6.2.1_3.6.4.12	2
4.2.1.105_3.1.1.1	2
2.4.1.91_2.4.1.115	2
1.1.1.n11_1.1.1.79	2
3.2.1.151_2.4.1.207	2
3.1.3.48_1.20.4.1	2
1.14.14.78_1.14.14.1	2
2.3.1.31_2.3.1.30	2
6.3.2.n3_2.3.2.27	2
4.99.1.4_4.99.1.3	2
1.18.1.3_1.18.1.2	2
2.7.7.9_2.7.7.83	2
1.14.14.29_1.14.14.26	2
3.7.1.8_3.7.1.17	2
2.7.1.181_2.1.1.294	2
1.1.1.195_1.1.1.194	2
2.5.1.16_2.5.1.104	2
1.14.19.73_1.14.19.64	2
5.5.1.17_4.2.3.113	2
1.14.19.73_1.14.19.68	2
4.2.3.94_4.2.3.55	2
1.13.11.70_1.13.11.69	2
1.1.1.239_1.1.1.188	2
1.1.1.4_1.1.1.1	2
6.3.1.8_3.5.1.78	2
1.3.1.20_1.1.1.239	2
1.1.1.64_1.1.1.188	2
2.3.1.22_2.3.1.20	2
4.2.99.18_1.14.11.51	2
5.3.3.22_3.1.1.90	2
1.14.14.52_1.14.14.1	2
5.4.4.7_1.14.14.74	1
3.1.3.26_3.1.3.2	1
5.4.4.7_1.14.14.73	1
5.4.4.6_1.13.11.60	1
5.5.1.8_4.2.3.121	1
1.11.1.7_1.11.1.16	1
4.2.3.129_4.2.3.128	1
4.2.3.129_4.2.3.127	1
3.6.1.67_3.6.1.22	1
2.5.1.52_2.5.1.47	1
1.5.7.2_1.12.98.3	1
3.4.23.50_2.7.7.7	1
1.14.14.75_1.14.14.53	1
4.2.3.133_4.2.3.123	1
1.14.14.75_1.14.14.51	1
2.7.7.83_2.3.1.276	1
4.2.3.150_4.2.3.149	1
1.1.1.354_1.1.1.347	1
4.2.3.85_4.2.3.84	1
2.8.1.13_2.7.1.26	1
2.6.1.39_2.6.1.1	1
4.1.1.80_4.1.1.72	1
4.1.1.80_4.1.1.74	1
4.2.3.86_4.2.3.73	1
2.6.1.57_2.6.1.107	1
4.6.1.17_2.7.7.77	1
2.6.1.48_2.6.1.19	1
1.6.5.9_1.6.5.12	1
3.1.1.72_3.1.1.3	1
4.2.3.53_4.2.3.50	1
4.2.3.47_4.2.3.133	1
4.99.1.4_1.2.1.70	1
4.2.3.65_4.2.3.133	1
4.1.2.51_4.1.2.21	1
4.1.2.51_4.1.2.28	1
3.6.1.9_3.6.1.1	1
7.6.2.3_7.2.2.2	1
1.14.19.34_1.14.19.33	1
3.2.2.n1_3.2.2.4	1
4.2.3.125_4.2.3.104	1
1.14.14.75_1.14.14.52	1
4.2.3.57_4.2.3.55	1
5.4.99.55_5.4.99.40	1
3.2.1.8_3.1.1.73	1
2.1.1.259_2.1.1.127	1
5.3.3.3_4.2.1.120	1
2.5.1.52_2.5.1.51	1
2.7.7.6_2.7.7.48	1
2.5.1.69_2.5.1.67	1
1.1.1.64_1.1.1.216	1
2.4.2.3_2.4.2.1	1
5.4.99.41_5.4.99.40	1
4.2.2.8_4.2.2.20	1
4.2.3.47_1.14.13.106	1
3.2.1.3_3.2.1.20	1
2.5.1.23_2.5.1.126	1
1.14.20.1_1.14.11.26	1
3.1.4.16_3.1.3.5	1
2.7.1.59_2.7.1.1	1
1.14.14.73_1.14.14.1	1
3.1.7.6_3.1.3.54	1
1.1.1.64_1.1.1.54	1
1.3.1.20_1.1.1.149	1
3.5.3.24_3.5.3.11	1
4.2.3.121_4.2.3.116	1
1.14.19.5_1.14.19.15	1
4.2.3.47_4.2.3.125	1
1.2.1.4_1.2.1.3	1
4.2.3.47_4.2.3.123	1
3.1.3.104_3.1.3.102	1
3.4.11.17_2.5.1.80	1
1.14.99.60_1.14.13.240	1
3.6.1.11_3.6.1.10	1
1.1.1.96_1.1.1.37	1
4.2.3.65_4.2.3.125	1
4.2.3.65_4.2.3.123	1
3.1.3.64_3.1.3.2	1
3.1.2.2_3.1.1.3	1
3.1.2.2_3.1.1.1	1
3.1.2.2_3.1.1.6	1
4.1.1.63_4.1.1.59	1
1.13.11.77_1.13.11.58	1
6.3.1.2_4.1.1.15	1
4.2.3.25_4.2.3.144	1
1.2.3.7_1.2.3.14	1
4.2.3.57_4.2.3.47	1
5.1.1.13_5.1.1.11	1
2.7.1.73_2.7.1.20	1
3.1.1.84_3.1.1.56	1
4.2.3.128_4.2.3.127	1
5.3.1.23_4.2.1.109	1
2.5.1.79_2.5.1.104	1
4.2.3.75_4.2.3.60	1
4.2.1.42_4.2.1.156	1
4.2.1.1_1.6.5.4	1
2.6.1.94_2.6.1.93	1
4.1.3.27_2.6.1.85	1
4.2.3.85_4.2.3.68	1
3.4.13.9_3.1.8.1	1
3.1.3.54_3.1.3.1	1
5.1.99.6_1.4.3.5	1
4.2.3.115_4.2.3.114	1
1.1.1.191_1.1.1.190	1
4.1.1.97_3.5.2.17	1
5.4.99.41_5.4.99.39	1
3.2.1.125_2.4.1.219	1
4.2.3.47_4.2.3.26	1
4.2.3.55_4.2.3.54	1
4.1.2.13_2.2.1.11	1
2.6.1.5_2.6.1.27	1
4.1.1.63_4.1.1.61	1
2.8.1.13_2.7.7.2	1
1.5.3.1_1.4.3.2	1
3.6.1.67_3.6.1.55	1
3.6.1.55_3.6.1.22	1
3.1.1.32_3.1.1.3	1
1.2.1.26_1.2.1.24	1
4.2.99.20_2.2.1.9	1
4.2.2.8_4.2.2.7	1
1.1.1.376_1.1.1.120	1
3.1.3.43_3.1.3.16	1
1.5.3.7_1.4.3.2	1
6.4.1.3_6.3.4.14	1
3.6.1.11_2.7.4.1	1
4.4.1.1_2.5.1.47	1
1.1.1.73_1.1.1.1	1
2.1.1.10_1.5.1.20	1
2.6.1.9_1.1.1.23	1
2.5.1.23_2.5.1.104	1
2.4.1.225_2.4.1.223	1
4.2.1.113_2.2.1.9	1
2.6.1.88_2.6.1.42	1
4.2.3.149_4.2.3.148	1
4.2.3.47_4.2.3.102	1
4.2.3.47_4.2.3.101	1
1.14.14.94_1.14.14.78	1
1.21.98.2_1.11.1.6	1
2.5.1.51_2.5.1.47	1
4.2.3.65_4.2.3.47	1
2.1.1.289_2.1.1.196	1
4.2.3.54_4.2.3.102	1
2.3.1.232_2.3.1.196	1
4.2.3.113_4.2.3.111	1
4.1.2.21_4.1.2.14	1
3.6.1.57_2.7.7.81	1
2.7.7.24_2.7.7.23	1
4.2.3.19_3.1.7.11	1
4.2.1.50_2.5.1.51	1
4.2.1.50_2.5.1.52	1
1.5.3.17_1.5.3.16	1
4.1.2.48_2.1.2.1	1
4.2.99.18_3.2.2.17	1
4.2.1.75_2.1.1.107	1
3.3.2.12_1.2.1.91	1
2.7.11.1_2.3.2.27	1
1.14.14.59_1.14.14.58	1
1.13.12.23_1.13.11.83	1
2.5.1.22_2.5.1.104	1
4.2.3.94_4.2.3.29	1
2.5.1.79_2.5.1.127	1
4.2.2.3_4.2.2.1	1
1.1.1.37_1.1.1.310	1
4.2.1.67_4.2.1.25	1
2.3.1.276_2.3.1.157	1
4.1.1.48_2.4.2.18	1
3.1.7.6_3.1.7.11	1
2.7.9.4_2.7.13.3	1
1.1.1.79_1.1.1.215	1
5.5.1.12_4.2.3.45	1
1.1.1.73_1.1.1.284	1
3.1.3.16_2.7.13.3	1
2.1.1.46_2.1.1.270	1
2.1.1.352_2.1.1.117	1
1.14.14.73_1.14.14.56	1
4.2.3.65_4.2.3.55	1
3.1.3.3_3.1.3.23	1
3.5.3.7_3.5.3.10	1
2.7.1.86_2.7.1.23	1
1.14.14.55_1.14.14.1	1
1.1.1.283_1.1.1.265	1
4.2.3.81_4.2.3.77	1
6.3.4.12_6.3.1.6	1
4.2.3.46_4.2.3.106	1
4.2.3.46_4.2.3.105	1
1.1.1.85_1.1.1.83	1
6.5.1.1_2.7.7.31	1
4.2.3.23_4.2.3.126	1
4.2.3.23_4.2.3.125	1
2.4.2.4_2.4.2.1	1
1.1.1.64_1.1.1.300	1
3.4.23.50_2.7.7.49	1
4.2.1.109_3.1.3.87	1
1.1.1.243_1.1.1.223	1
2.7.7.23_2.3.1.276	1
1.17.99.7_1.17.1.9	1
2.7.11.1_2.3.2.26	1
2.6.99.3_2.5.1.47	1
1.3.1.76_1.2.1.70	1
4.1.1.15_4.1.1.11	1
5.1.3.37_4.2.2.3	1
4.2.3.77_4.2.3.55	1
1.2.1.22_1.2.1.21	1
1.1.3.44_1.1.3.43	1
2.6.1.88_2.6.1.27	1
4.1.3.4_4.1.3.26	1
2.7.1.76_2.7.1.74	1
4.2.3.54_4.2.3.53	1
1.1.1.76_1.1.1.304	1
4.2.3.126_4.2.3.125	1
4.2.1.81_4.2.1.2	1
4.2.3.151_4.2.3.150	1
2.4.99.15_2.4.99.13	1
2.4.99.15_2.4.99.12	1
2.4.99.15_2.4.99.14	1
4.2.3.49_3.1.7.6	1
4.1.3.22_3.7.1.1	1
5.4.4.4_4.2.1.127	1
2.7.7.83_2.7.7.24	1
1.1.1.162_1.1.1.10	1
3.1.2.20_2.3.1.84	1
2.3.1.92_2.3.1.103	1
2.5.1.22_2.5.1.126	1
5.3.1.1_2.7.2.3	1
3.5.99.2_3.1.3.100	1
1.1.1.359_1.1.1.120	1
2.4.2.9_2.4.2.10	1
2.3.1.48_2.3.1.36	1
1.14.14.51_1.1.1.243	1
1.14.14.9_1.14.14.8	1
2.1.1.157_2.1.1.156	1
3.1.1.31_1.1.1.49	1
4.6.1.2_2.7.11.1	1
3.1.3.21_3.1.3.104	1
1.1.1.16_1.1.1.14	1
4.2.3.77_4.2.3.47	1
2.7.7.24_2.3.1.276	1
1.14.14.56_1.14.14.1	1
2.6.1.9_2.6.1.38	1
4.2.3.55_4.2.3.102	1
4.2.3.55_4.2.3.101	1
1.1.1.n5_1.1.1.85	1
3.2.2.22_3.1.1.11	1
3.2.2.8_3.2.2.1	1
1.1.1.n5_1.1.1.83	1
5.3.1.6_2.7.1.15	1
4.2.1.50_2.5.1.47	1
3.1.3.2_3.1.3.11	1
4.2.1.70_2.7.1.83	1
5.4.99.28_3.5.4.26	1
1.14.14.75_1.14.14.1	1
4.2.3.151_4.2.3.149	1
1.1.1.82_1.1.1.310	1
4.2.3.49_4.2.3.47	1
4.2.3.81_4.2.3.57	1
3.4.23.50_3.1.26.4	1
2.7.1.147_2.7.1.146	1
4.2.3.16_4.2.3.119	1
3.5.1.4_3.5.1.13	1
3.5.1.4_3.5.1.14	1
4.2.3.76_4.2.3.71	1
4.2.3.26_4.2.3.19	1
2.4.1.224_2.4.1.223	1
1.1.1.236_1.1.1.206	1
4.2.3.79_4.2.3.78	1
2.4.1.243_2.4.1.100	1
1.1.1.47_1.1.1.359	1
4.2.3.77_4.2.3.125	1
4.2.3.77_4.2.3.123	1
3.1.1.90_3.1.1.64	1
5.4.99.41_4.2.1.128	1
2.7.13.3_2.7.11.1	1
4.2.3.26_3.1.7.11	1
2.7.4.6_2.7.4.4	1
2.1.1.n11_2.1.1.63	1
4.2.3.168_4.2.3.167	1
3.1.3.73_3.1.26.4	1
3.1.21.4_2.1.1.72	1
4.1.3.38_2.6.1.21	1
5.1.3.13_1.1.1.133	1
2.1.1.190_2.1.1.189	1
4.2.3.75_4.1.99.16	1
4.2.3.140_4.2.1.133	1
3.2.1.37_3.2.1.21	1
4.2.3.84_4.2.3.68	1
3.1.3.34_2.7.1.78	1
2.5.1.65_2.5.1.47	1
1.10.3.4_1.10.3.15	1
3.11.1.1_2.6.1.37	1
4.2.1.82_4.2.1.39	1
2.5.1.67_2.5.1.1	1
4.2.3.79_4.2.3.69	1
1.1.1.9_1.1.1.4	1
4.2.3.16_4.2.3.111	1
4.2.3.16_4.2.3.117	1
4.2.3.16_4.2.3.114	1
2.4.1.284_2.4.1.283	1
1.14.13.38_1.14.13.234	1
2.6.1.81_2.6.1.11	1
2.7.7.80_2.7.7.73	1
2.7.7.9_2.7.7.24	1
3.1.3.3_3.1.3.16	1
1.1.1.56_1.1.1.14	1
6.2.1.37_6.2.1.27	1
4.2.3.91_4.2.3.128	1
4.2.3.91_4.2.3.129	1
4.2.3.91_4.2.3.127	1
3.1.4.46_2.7.11.1	1
3.5.1.14_3.5.1.13	1
4.2.3.77_4.2.3.65	1
4.2.2.14_4.2.2.1	1
1.1.1.358_1.1.1.168	1
1.1.1.320_1.1.1.153	1
4.2.3.55_4.2.3.123	1
4.2.3.55_4.2.3.125	1
1.1.1.48_1.1.1.376	1
3.2.1.38_3.2.1.21	1
5.5.1.12_4.2.3.131	1
1.14.13.233_1.14.13.232	1
2.3.1.74_2.3.1.212	1
3.6.2.1_3.6.1.29	1
5.3.1.3_5.3.1.25	1
1.11.1.19_1.11.1.16	1
4.2.1.6_4.2.1.25	1
2.7.11.1_2.7.1.67	1
4.2.3.57_4.2.3.123	1
4.2.1.3_4.2.1.117	1
1.1.1.4_1.1.1.14	1
4.2.3.49_4.2.3.26	1
2.3.2.27_2.3.2.23	1
4.2.3.81_4.2.3.101	1
2.7.1.213_2.7.1.20	1
1.14.14.56_1.14.14.55	1
4.4.1.28_4.4.1.11	1
4.4.1.28_4.4.1.13	1
4.2.2.3_4.2.2.14	1
3.4.11.6_3.4.11.10	1
6.3.3.3_2.1.1.197	1
2.5.1.125_2.5.1.124	1
2.7.7.9_2.3.1.276	1
1.2.1.67_1.2.1.28	1
4.2.3.81_4.2.3.123	1
2.1.1.65_2.1.1.154	1
4.2.3.16_4.2.3.105	1
1.11.1.9_1.11.1.15	1
4.2.3.26_3.1.7.6	1
2.7.7.83_2.3.1.157	1
1.14.18.7_1.14.18.6	1
5.4.99.5_2.5.1.54	1
1.14.14.74_1.14.14.73	1
4.4.1.28_4.4.1.2	1
4.2.3.81_4.2.3.65	1
4.1.3.24_3.1.2.30	1
3.1.3.93_3.1.3.15	1
1.14.14.51_1.1.1.144	1
2.5.1.16_2.5.1.126	1
4.2.99.20_4.2.1.113	1
2.7.1.7_2.7.1.2	1
4.2.3.55_4.2.3.133	1
4.2.3.171_4.2.3.163	1
5.5.1.20_1.1.3.42	1
2.6.1.5_2.6.1.1	1
4.1.99.17_2.5.1.3	1
2.5.1.22_2.5.1.16	1
3.2.1.2_3.2.1.1	1
4.2.3.114_4.2.3.113	1
4.2.3.114_4.2.3.111	1
2.5.1.21_2.5.1.148	1
5.1.1.5_5.1.1.12	1
5.1.1.8_4.2.1.77	1
4.2.3.15_4.2.3.106	1
1.3.3.14_1.1.3.45	1
4.2.3.81_4.2.3.133	1
1.14.14.52_1.1.1.144	1
1.14.19.6_1.14.19.22	1
2.4.1.175_2.4.1.174	1
1.1.1.81_1.1.1.215	1
1.1.1.300_1.1.1.216	1
4.2.3.94_4.2.3.102	1
4.2.3.94_4.2.3.101	1
3.4.22.28_3.4.19.12	1
1.14.14.70_1.14.14.68	1
4.2.3.78_4.2.3.69	1
1.23.1.3_1.23.1.2	1
2.1.1.89_2.1.1.117	1
2.1.1.89_2.1.1.118	1
4.2.3.94_4.2.3.81	1
2.4.2.15_2.4.2.1	1
2.1.1.277_2.1.1.274	1
2.1.1.277_2.1.1.273	1
4.2.3.19_3.1.7.6	1
1.1.1.6_1.1.1.192	1
1.1.1.189_1.1.1.149	1
4.2.3.92_4.2.3.13	1
3.2.1.8_3.2.1.73	1
5.3.99.6_4.2.1.92	1
2.4.1.226_2.4.1.212	1
1.5.1.27_1.14.19.54	1
3.6.1.43_3.1.2.22	1
4.2.3.47_3.1.7.11	1
1.14.14.123_1.14.14.112	1
4.2.3.93_4.2.3.70	1
2.6.1.57_2.6.1.1	1
2.6.1.57_2.6.1.5	1
2.3.1.n7_2.3.1.51	1
1.14.14.80_1.14.14.79	1
1.14.14.80_1.14.14.78	1
2.5.1.127_2.5.1.126	1
3.1.8.2_3.1.8.1	1
5.4.99.54_5.4.99.52	1
4.2.3.15_4.2.3.111	1
4.2.3.15_4.2.3.114	1
4.2.3.15_4.2.3.117	1
4.2.3.81_4.2.3.125	1
1.14.14.52_1.1.1.243	1
4.2.3.57_4.2.3.125	1
2.6.1.88_2.6.1.5	1
4.2.3.47_4.2.3.19	1
3.5.1.113_3.5.1.112	1
2.4.99.6_2.4.99.2	1
4.2.3.117_4.2.3.105	1
2.6.1.51_2.6.1.45	1
6.3.2.7_6.3.2.37	1
2.5.1.126_2.5.1.104	1
4.2.3.48_4.2.3.144	1
4.2.3.87_4.2.3.70	1
2.7.7.30_2.7.1.52	1
4.2.3.54_4.2.3.47	1
3.1.3.102_2.7.1.26	1
2.3.1.223_2.3.1.174	1
3.6.2.1_2.7.7.5	1
1.1.1.48_1.1.1.359	1
4.2.1.101_4.1.2.41	1
2.3.1.47_2.3.1.29	1
4.2.3.49_4.2.3.19	1
4.1.2.9_4.1.2.22	1
3.2.1.91_3.2.1.4	1
3.2.1.91_3.2.1.8	1
2.5.1.79_2.5.1.23	1
1.14.19.47_1.14.19.38	1
4.2.1.22_2.5.1.65	1
3.2.1.78_3.2.1.4	1
3.2.1.4_3.1.1.72	1
4.1.1.18_4.1.1.17	1
3.1.1.84_3.1.1.1	1
1.13.11.77_1.13.11.12	1
2.4.2.28_2.4.2.1	1
4.2.3.133_4.2.3.104	1
4.1.3.17_4.1.3.16	1
5.4.99.55_5.4.99.39	1
1.2.98.1_1.2.1.46	1
2.5.1.69_2.5.1.1	1
1.5.3.15_1.5.3.14	1
4.1.3.1_2.3.3.9	1
3.1.3.12_2.4.1.15	1
1.1.1.243_1.1.1.144	1
5.3.1.14_2.7.1.5	1
2.3.1.220_2.3.1.151	1
4.2.3.49_3.1.7.11	1
5.5.1.14_4.2.3.42	1
3.1.2.12_3.1.1.56	1
2.7.7.9_2.3.1.157	1
4.2.1.130_3.5.1.124	1
2.4.1.337_2.4.1.208	1
4.1.3.16_4.1.1.112	1
3.1.7.6_3.1.3.1	1
3.3.2.11_3.3.2.10	1
3.2.1.52_3.2.1.21	1
4.2.3.22_4.1.99.16	1
1.2.3.7_1.2.3.1	1
5.5.1.19_5.3.99.9	1
4.2.3.54_4.2.3.50	1
2.6.1.57_2.6.1.39	1
4.2.1.92_1.13.11.40	1
4.3.1.3_3.5.2.7	1
5.4.2.13_5.4.2.10	1
4.2.1.67_4.2.1.6	1
4.5.1.5_2.5.1.47	1
4.4.1.15_3.5.99.7	1
1.1.1.56_1.1.1.4	1
2.7.7.24_2.3.1.157	1
2.7.7.85_2.7.7.65	1
4.2.3.112_4.2.3.111	1
3.6.1.18_3.6.1.13	1
4.2.3.89_4.2.1.138	1
3.5.2.6_3.4.16.4	1
2.6.1.7_2.6.1.57	1
4.4.1.2_4.4.1.1	1
4.2.3.125_4.2.3.123	1
5.5.1.8_4.2.3.116	1
1.1.1.29_1.1.1.28	1
4.2.3.94_4.2.3.54	1
3.1.3.25_3.1.3.15	1
2.4.1.226_2.4.1.174	1
2.4.2.2_2.4.2.1	1
1.1.1.82_1.1.1.37	1
1.1.1.54_1.1.1.216	1
4.2.3.47_3.1.7.6	1
4.2.3.133_4.2.3.13	1
6.5.1.3_2.7.1.78	1
2.6.1.95_2.6.1.93	1
4.1.1.80_4.1.1.43	1
6.2.1.27_6.2.1.25	1
1.13.11.76_1.13.11.74	1
1.5.1.42_1.5.1.37	1
3.1.4.16_3.1.3.60	1
3.2.2.n1_2.5.1.27	1
2.4.1.263_2.4.1.121	1
1.14.14.73_1.14.14.55	1
4.2.1.22_2.5.1.47	1
4.2.3.65_4.2.3.57	1
1.3.1.43_1.3.1.12	1
2.3.1.219_2.3.1.217	1
